Data,Amount,Category,Payment Method,Description
2023-12-27,191.16,Utilities,Bank transfer,Although sometimes tell current should agree.
2024-01-21,126.78,Transport,Dedit card,Give senior for seat.
2024-01-24,117.58,Transport,Dedit card,Monthly bus pass
2024-01-24,82.49,Health care,Credit card,Early pull himself street form real course.
2024-02-02,83.73,Health care,Credit card,Pharmacy visit
2024-01-03,66.63,Health care,Credit card,Mind traditional leave another result only.
2024-01-01,57.46,Groceries,Credit card,Fruits and vegetables
2024-01-12,196.71,Utilities,Bank transfer,Electricity bill
2024-01-11,195.37,Utilities,Bank transfer,Rock often record owner along benefit.
2024-02-04,77.86,Health care,Credit card,Pharmacy visit
2024-01-24,54.84,Groceries,Credit card,Fruits and vegetables
2024-01-11,113.31,Transport,Dedit card,Light participant next decide open.
2023-12-25,207.84,Utilities,Bank transfer,Electricity bill
2024-01-10,55.95,Groceries,Credit card,Fruits and vegetables
2024-01-02,209.39,Utilities,Bank transfer,Electricity bill
2024-01-08,70.93,Health care,Credit card,Free sell price exist end.
2024-01-01,33.98,Entertainment,Cash,Finally education cover radio option.
2023-12-16,121.53,Transport,Dedit card,Prevent possible song daughter sense hundred.
2023-12-08,41.59,Groceries,Credit card,Happen boy write top leader hour.
2023-12-19,69.94,Health care,Credit card,Pharmacy visit
2023-12-24,123.20,Transport,Dedit card,Monthly bus pass
2023-12-22,199.28,Utilities,Bank transfer,Electricity bill
2023-12-19,43.59,Groceries,Credit card,Organization shoulder carry.
2024-02-03,205.45,Utilities,Bank transfer,Electricity bill
2023-12-08,56.36,Groceries,Credit card,Fruits and vegetables
2024-01-24,192.29,Utilities,Bank transfer,Never wall summer deep decision throughout compare.
2023-12-15,56.13,Groceries,Credit card,On avoid authority.
2023-12-17,46.66,Groceries,Credit card,Do stuff color become.
2024-01-30,203.75,Utilities,Bank transfer,Electricity bill
2024-01-20,200.99,Utilities,Bank transfer,Electricity bill
2023-12-30,115.46,Transport,Dedit card,Monthly bus pass
2023-12-04,40.40,Groceries,Credit card,Fruits and vegetables
2023-12-06,125.34,Transport,Dedit card,Claim pretty choose remain money office.
2024-01-31,25.37,Entertainment,Cash,Movie night
2024-01-31,120.89,Transport,Dedit card,Monthly bus pass
2023-12-10,117.01,Transport,Dedit card,Physical fight population so politics fly.
2023-12-13,49.40,Groceries,Credit card,While number start score.
2024-01-24,191.38,Utilities,Bank transfer,Electricity bill
2023-12-16,121.47,Transport,Dedit card,Monthly bus pass
2024-02-01,207.77,Utilities,Bank transfer,Product gas line evidence crime.
2023-12-24,118.93,Transport,Dedit card,Monthly bus pass
2023-12-19,199.03,Utilities,Bank transfer,Respond current everybody answer no trial.
2023-12-31,38.95,Entertainment,Cash,Movie night
2024-01-25,52.97,Groceries,Credit card,Fruits and vegetables
2023-12-17,70.26,Health care,Credit card,About minute international list only.
2024-01-08,73.52,Health care,Credit card,War popular pressure various.
2024-01-10,208.36,Utilities,Bank transfer,Electricity bill
2023-12-21,72.60,Health care,Credit card,Order they take outside.
2024-01-28,121.76,Transport,Dedit card,Monthly bus pass
2024-01-29,75.63,Health care,Credit card,Pharmacy visit
2023-12-19,39.62,Entertainment,Cash,Movie night
2023-12-21,28.97,Entertainment,Cash,Movie night
2023-12-24,120.17,Transport,Dedit card,Pressure which tell anything.
2024-01-11,121.19,Transport,Dedit card,See actually second short leg.
2023-12-30,47.96,Groceries,Credit card,Wrong wish beyond.
2023-12-11,55.90,Groceries,Credit card,Fruits and vegetables
2023-12-11,55.03,Groceries,Credit card,Race collection yet air.
2023-12-29,68.72,Health care,Credit card,Pharmacy visit
2024-02-01,21.42,Entertainment,Cash,Eat top health.
2024-01-28,198.67,Utilities,Bank transfer,Number several blood world.
2023-12-05,195.41,Utilities,Bank transfer,Image they safe indeed.
2024-02-01,31.63,Entertainment,Cash,Tell life help federal.
2023-12-27,39.07,Entertainment,Cash,Movie night
2023-12-04,113.08,Transport,Dedit card,Monthly bus pass
2023-12-15,43.31,Groceries,Credit card,Fruits and vegetables
2024-01-31,65.07,Health care,Credit card,Pharmacy visit
2023-12-26,191.72,Utilities,Bank transfer,Loss heart itself soldier.
